group_id,pool,label,src_class,n_files,path
20676,B,moderate,moderate,2,data/images/train/moderate/00758.jpg
20676,B,moderate,moderate,2,data/images/train/moderate/06240.jpg
20690,B,moderate,moderate,1,data/images/train/moderate/00772.jpg
20740,B,moderate,moderate,1,data/images/train/moderate/00822.jpg
20747,B,moderate,moderate,1,data/images/train/moderate/00829.jpg
20751,B,low,moderate,3,data/images/train/moderate/00833.jpg
20751,B,low,moderate,3,data/images/train/moderate/06352.jpg
20751,B,low,moderate,3,data/images/train/moderate/19717.jpg
20806,B,moderate,moderate,2,data/images/train/moderate/00888.jpg
20806,B,moderate,moderate,2,data/images/train/moderate/06408.jpg
20835,B,moderate,moderate,2,data/images/train/moderate/00917.jpg
20835,B,moderate,moderate,2,data/images/train/moderate/06435.jpg
20850,B,high,moderate,1,data/images/train/moderate/00932.jpg
20855,B,moderate,moderate,2,data/images/train/moderate/00937.jpg
20855,B,moderate,moderate,2,data/images/train/moderate/06455.jpg
20868,B,low,moderate,2,data/images/train/moderate/00950.jpg
20868,B,low,moderate,2,data/images/train/moderate/19515.jpg
20877,B,low,moderate,2,data/images/train/moderate/00959.jpg
20877,B,low,moderate,2,data/images/train/moderate/06479.jpg
20879,B,low,moderate,2,data/images/train/moderate/00961.jpg
20879,B,low,moderate,2,data/images/train/moderate/06481.jpg
20883,B,low,moderate,2,data/images/train/moderate/00965.jpg
20883,B,low,moderate,2,data/images/train/moderate/06487.jpg
20912,B,moderate,moderate,1,data/images/train/moderate/00994.jpg
20917,B,moderate,moderate,1,data/images/train/moderate/00999.jpg
20959,B,low,moderate,1,data/images/train/moderate/01041.jpg
20968,B,low,moderate,1,data/images/train/moderate/01050.jpg
21003,B,low,moderate,1,data/images/train/moderate/01085.jpg
21023,B,moderate,moderate,1,data/images/train/moderate/01105.jpg
21032,B,low,moderate,2,data/images/train/moderate/01114.jpg
21032,B,low,moderate,2,data/images/train/moderate/06610.jpg
21041,B,low,moderate,3,data/images/train/moderate/01123.jpg
21041,B,low,moderate,3,data/images/train/moderate/06619.jpg
21041,B,low,moderate,3,data/images/train/moderate/19784.jpg
21046,B,moderate,moderate,1,data/images/train/moderate/01128.jpg
21052,B,moderate,moderate,1,data/images/train/moderate/01134.jpg
21056,B,low,moderate,2,data/images/train/moderate/01138.jpg
21056,B,low,moderate,2,data/images/train/moderate/06634.jpg
21058,B,low,moderate,2,data/images/train/moderate/01140.jpg
21058,B,low,moderate,2,data/images/train/moderate/06636.jpg
21065,B,low,moderate,2,data/images/train/moderate/01147.jpg
21065,B,low,moderate,2,data/images/train/moderate/06643.jpg
21079,B,low,moderate,1,data/images/train/moderate/01161.jpg
21082,B,low,moderate,1,data/images/train/moderate/01164.jpg
21088,B,low,moderate,1,data/images/train/moderate/01170.jpg
21107,B,low,moderate,1,data/images/train/moderate/01189.jpg
21112,B,low,moderate,2,data/images/train/moderate/01194.jpg
21112,B,low,moderate,2,data/images/train/moderate/06730.jpg
21119,B,low,moderate,2,data/images/train/moderate/01201.jpg
21119,B,low,moderate,2,data/images/train/moderate/06737.jpg
21151,B,low,moderate,2,data/images/train/moderate/01233.jpg
21151,B,low,moderate,2,data/images/train/moderate/06768.jpg
21154,B,low,moderate,2,data/images/train/moderate/01236.jpg
21154,B,low,moderate,2,data/images/train/moderate/06771.jpg
21209,B,moderate,moderate,2,data/images/train/moderate/01291.jpg
21209,B,moderate,moderate,2,data/images/train/moderate/06825.jpg
21210,B,moderate,moderate,2,data/images/train/moderate/01292.jpg
21210,B,moderate,moderate,2,data/images/train/moderate/06826.jpg
21226,B,moderate,moderate,1,data/images/train/moderate/01308.jpg
21231,B,low,moderate,1,data/images/train/moderate/01313.jpg
21262,B,high,moderate,1,data/images/train/moderate/01344.jpg
21308,B,moderate,moderate,1,data/images/train/moderate/01390.jpg
21322,B,moderate,moderate,2,data/images/train/moderate/01404.jpg
21322,B,moderate,moderate,2,data/images/train/moderate/06877.jpg
21343,B,moderate,moderate,1,data/images/train/moderate/01425.jpg
21408,B,moderate,moderate,1,data/images/train/moderate/01490.jpg
21431,B,moderate,moderate,1,data/images/train/moderate/01513.jpg
21438,B,low,moderate,2,data/images/train/moderate/01520.jpg
21438,B,low,moderate,2,data/images/train/moderate/07076.jpg
21447,B,moderate,moderate,1,data/images/train/moderate/01529.jpg
21449,B,high,moderate,1,data/images/train/moderate/01531.jpg
21454,B,moderate,moderate,2,data/images/train/moderate/01536.jpg
21454,B,moderate,moderate,2,data/images/train/moderate/07090.jpg
21464,B,moderate,moderate,1,data/images/train/moderate/01546.jpg
21503,B,moderate,moderate,1,data/images/train/moderate/01585.jpg
21507,B,moderate,moderate,2,data/images/train/moderate/01589.jpg
21507,B,moderate,moderate,2,data/images/train/moderate/07177.jpg
21523,B,moderate,moderate,1,data/images/train/moderate/01605.jpg
21531,B,moderate,moderate,1,data/images/train/moderate/01613.jpg
21557,B,low,moderate,1,data/images/train/moderate/01639.jpg
21573,B,moderate,moderate,1,data/images/train/moderate/01655.jpg
21593,B,moderate,moderate,1,data/images/train/moderate/01675.jpg
21598,B,low,moderate,1,data/images/train/moderate/01680.jpg
21603,B,low,moderate,1,data/images/train/moderate/01685.jpg
21616,B,moderate,moderate,1,data/images/train/moderate/01698.jpg
21662,B,moderate,moderate,2,data/images/train/moderate/01744.jpg
21662,B,moderate,moderate,2,data/images/train/moderate/07305.jpg
21672,B,moderate,moderate,1,data/images/train/moderate/01754.jpg
21690,B,low,moderate,2,data/images/train/moderate/01772.jpg
21690,B,low,moderate,2,data/images/train/moderate/07331.jpg
21695,B,high,moderate,2,data/images/train/moderate/01777.jpg
21695,B,high,moderate,2,data/images/train/moderate/07336.jpg
21709,B,moderate,moderate,1,data/images/train/moderate/01791.jpg
21715,B,moderate,moderate,1,data/images/train/moderate/01797.jpg
21743,B,high,moderate,2,data/images/train/moderate/01825.jpg
21743,B,high,moderate,2,data/images/train/moderate/07385.jpg
21746,B,moderate,moderate,1,data/images/train/moderate/01828.jpg
21751,B,moderate,moderate,1,data/images/train/moderate/01833.jpg
21795,B,moderate,moderate,2,data/images/train/moderate/01877.jpg
21795,B,moderate,moderate,2,data/images/train/moderate/07474.jpg
21808,B,high,moderate,2,data/images/train/moderate/01890.jpg
21808,B,high,moderate,2,data/images/train/moderate/07487.jpg
21810,B,moderate,moderate,2,data/images/train/moderate/01892.jpg
21810,B,moderate,moderate,2,data/images/train/moderate/07489.jpg
21813,B,high,moderate,3,data/images/train/moderate/01895.jpg
21813,B,high,moderate,3,data/images/train/moderate/07492.jpg
21813,B,high,moderate,3,data/images/train/moderate/19815.jpg
21883,B,low,moderate,2,data/images/train/moderate/01965.jpg
21883,B,low,moderate,2,data/images/train/moderate/07564.jpg
21901,B,low,moderate,1,data/images/train/moderate/01983.jpg
21960,B,moderate,moderate,1,data/images/train/moderate/02042.jpg
21964,B,low,moderate,2,data/images/train/moderate/02046.jpg
21964,B,low,moderate,2,data/images/train/moderate/07646.jpg
21979,B,moderate,moderate,2,data/images/train/moderate/02061.jpg
21979,B,moderate,moderate,2,data/images/train/moderate/07661.jpg
22004,B,low,moderate,1,data/images/train/moderate/02086.jpg
22007,B,low,moderate,1,data/images/train/moderate/02089.jpg
22022,B,low,moderate,1,data/images/train/moderate/02104.jpg
22062,B,low,moderate,1,data/images/train/moderate/02144.jpg
22063,B,low,moderate,1,data/images/train/moderate/02145.jpg
22086,B,low,moderate,1,data/images/train/moderate/02168.jpg
22089,B,low,moderate,1,data/images/train/moderate/02171.jpg
22119,B,low,moderate,1,data/images/train/moderate/02201.jpg
22185,B,moderate,moderate,1,data/images/train/moderate/02267.jpg
22205,B,low,moderate,1,data/images/train/moderate/02287.jpg
22206,B,moderate,moderate,1,data/images/train/moderate/02288.jpg
22215,B,low,moderate,1,data/images/train/moderate/02297.jpg
22259,B,moderate,moderate,1,data/images/train/moderate/02341.jpg
22333,B,moderate,moderate,1,data/images/train/moderate/02415.jpg
22345,B,low,moderate,1,data/images/train/moderate/02427.jpg
22361,B,low,moderate,1,data/images/train/moderate/02443.jpg
22423,B,moderate,moderate,1,data/images/train/moderate/02505.jpg
22451,B,moderate,moderate,1,data/images/train/moderate/02533.jpg
22455,B,moderate,moderate,2,data/images/train/moderate/02537.jpg
22455,B,moderate,moderate,2,data/images/train/moderate/08049.jpg
22465,B,moderate,moderate,1,data/images/train/moderate/02547.jpg
22466,B,low,moderate,1,data/images/train/moderate/02548.jpg
22498,B,moderate,moderate,2,data/images/train/moderate/02580.jpg
22498,B,moderate,moderate,2,data/images/train/moderate/08096.jpg
22503,B,moderate,moderate,1,data/images/train/moderate/02585.jpg
22510,B,moderate,moderate,1,data/images/train/moderate/02592.jpg
22527,B,moderate,moderate,1,data/images/train/moderate/02609.jpg
22534,B,moderate,moderate,1,data/images/train/moderate/02616.jpg
22540,B,moderate,moderate,1,data/images/train/moderate/02622.jpg
22565,B,low,moderate,1,data/images/train/moderate/02647.jpg
22566,B,moderate,moderate,1,data/images/train/moderate/02648.jpg
22581,B,low,moderate,1,data/images/train/moderate/02663.jpg
22583,B,moderate,moderate,1,data/images/train/moderate/02665.jpg
22596,B,low,moderate,1,data/images/train/moderate/02678.jpg
22616,B,moderate,moderate,2,data/images/train/moderate/02698.jpg
22616,B,moderate,moderate,2,data/images/train/moderate/08270.jpg
22624,B,moderate,moderate,1,data/images/train/moderate/02706.jpg
22643,B,moderate,moderate,2,data/images/train/moderate/02725.jpg
22643,B,moderate,moderate,2,data/images/train/moderate/08298.jpg
22699,B,low,moderate,1,data/images/train/moderate/02781.jpg
22722,B,low,moderate,1,data/images/train/moderate/02804.jpg
22770,B,high,moderate,2,data/images/train/moderate/02852.jpg
22770,B,high,moderate,2,data/images/train/moderate/08396.jpg
22819,B,low,moderate,2,data/images/train/moderate/02901.jpg
22819,B,low,moderate,2,data/images/train/moderate/08447.jpg
22844,B,low,moderate,2,data/images/train/moderate/02926.jpg
22844,B,low,moderate,2,data/images/train/moderate/08475.jpg
22846,B,low,moderate,2,data/images/train/moderate/02928.jpg
22846,B,low,moderate,2,data/images/train/moderate/08477.jpg
22857,B,moderate,moderate,2,data/images/train/moderate/02939.jpg
22857,B,moderate,moderate,2,data/images/train/moderate/08488.jpg
22925,B,high,moderate,1,data/images/train/moderate/03007.jpg
22963,B,moderate,moderate,1,data/images/train/moderate/03045.jpg
23030,B,moderate,moderate,1,data/images/train/moderate/03112.jpg
23033,B,low,moderate,1,data/images/train/moderate/03115.jpg
23035,B,low,moderate,2,data/images/train/moderate/03117.jpg
23035,B,low,moderate,2,data/images/train/moderate/08656.jpg
23038,B,low,moderate,2,data/images/train/moderate/03120.jpg
23038,B,low,moderate,2,data/images/train/moderate/08659.jpg
23058,B,moderate,moderate,1,data/images/train/moderate/03140.jpg
23062,B,low,moderate,1,data/images/train/moderate/03144.jpg
23069,B,low,moderate,1,data/images/train/moderate/03151.jpg
23083,B,moderate,moderate,1,data/images/train/moderate/03165.jpg
23104,B,low,moderate,1,data/images/train/moderate/03186.jpg
23147,B,moderate,moderate,1,data/images/train/moderate/03229.jpg
23176,B,moderate,moderate,1,data/images/train/moderate/03258.jpg
23177,B,moderate,moderate,1,data/images/train/moderate/03259.jpg
23181,B,high,moderate,1,data/images/train/moderate/03263.jpg
23188,B,moderate,moderate,1,data/images/train/moderate/03270.jpg
23214,B,low,moderate,1,data/images/train/moderate/03296.jpg
23254,B,moderate,moderate,2,data/images/train/moderate/03336.jpg
23254,B,moderate,moderate,2,data/images/train/moderate/08786.jpg
23265,B,moderate,moderate,2,data/images/train/moderate/03347.jpg
23265,B,moderate,moderate,2,data/images/train/moderate/08798.jpg
23351,B,moderate,moderate,1,data/images/train/moderate/03433.jpg
23360,B,moderate,moderate,1,data/images/train/moderate/03442.jpg
23362,B,low,moderate,2,data/images/train/moderate/03444.jpg
23362,B,low,moderate,2,data/images/train/moderate/08896.jpg
23369,B,high,moderate,1,data/images/train/moderate/03451.jpg
23375,B,moderate,moderate,1,data/images/train/moderate/03457.jpg
23389,B,moderate,moderate,1,data/images/train/moderate/03471.jpg
23402,B,low,moderate,1,data/images/train/moderate/03484.jpg
23411,B,moderate,moderate,1,data/images/train/moderate/03493.jpg
23420,B,moderate,moderate,1,data/images/train/moderate/03502.jpg
23421,B,moderate,moderate,1,data/images/train/moderate/03503.jpg
23429,B,high,moderate,2,data/images/train/moderate/03511.jpg
23429,B,high,moderate,2,data/images/train/moderate/08966.jpg
23446,B,moderate,moderate,2,data/images/train/moderate/03528.jpg
23446,B,moderate,moderate,2,data/images/train/moderate/08982.jpg
23485,B,high,moderate,1,data/images/train/moderate/03567.jpg
23501,B,moderate,moderate,1,data/images/train/moderate/03583.jpg
23512,B,low,moderate,1,data/images/train/moderate/03594.jpg
23517,B,moderate,moderate,2,data/images/train/moderate/03599.jpg
23517,B,moderate,moderate,2,data/images/train/moderate/08997.jpg
23527,B,moderate,moderate,1,data/images/train/moderate/03609.jpg
23530,B,moderate,moderate,2,data/images/train/moderate/03612.jpg
23530,B,moderate,moderate,2,data/images/train/moderate/09010.jpg
23563,B,high,moderate,1,data/images/train/moderate/03645.jpg
23571,B,low,moderate,2,data/images/train/moderate/03653.jpg
23571,B,low,moderate,2,data/images/train/moderate/09054.jpg
23576,B,low,moderate,2,data/images/train/moderate/03658.jpg
23576,B,low,moderate,2,data/images/train/moderate/09060.jpg
23599,B,moderate,moderate,2,data/images/train/moderate/03681.jpg
23599,B,moderate,moderate,2,data/images/train/moderate/09084.jpg
23600,B,high,moderate,2,data/images/train/moderate/03682.jpg
23600,B,high,moderate,2,data/images/train/moderate/09085.jpg
23647,B,moderate,moderate,2,data/images/train/moderate/03729.jpg
23647,B,moderate,moderate,2,data/images/train/moderate/09132.jpg
23652,B,moderate,moderate,1,data/images/train/moderate/03734.jpg
23669,B,low,moderate,2,data/images/train/moderate/03751.jpg
23669,B,low,moderate,2,data/images/train/moderate/09153.jpg
23671,B,low,moderate,2,data/images/train/moderate/03753.jpg
23671,B,low,moderate,2,data/images/train/moderate/09156.jpg
23689,B,moderate,moderate,1,data/images/train/moderate/03771.jpg
23730,B,moderate,moderate,2,data/images/train/moderate/03812.jpg
23730,B,moderate,moderate,2,data/images/train/moderate/09204.jpg
23733,B,moderate,moderate,2,data/images/train/moderate/03815.jpg
23733,B,moderate,moderate,2,data/images/train/moderate/09206.jpg
23767,B,moderate,moderate,2,data/images/train/moderate/03849.jpg
23767,B,moderate,moderate,2,data/images/train/moderate/09238.jpg
23772,B,moderate,moderate,2,data/images/train/moderate/03854.jpg
23772,B,moderate,moderate,2,data/images/train/moderate/09242.jpg
23791,B,moderate,moderate,2,data/images/train/moderate/03873.jpg
23791,B,moderate,moderate,2,data/images/train/moderate/09261.jpg
23797,B,high,moderate,1,data/images/train/moderate/03879.jpg
23818,B,moderate,moderate,2,data/images/train/moderate/03900.jpg
23818,B,moderate,moderate,2,data/images/train/moderate/09288.jpg
23829,B,low,moderate,1,data/images/train/moderate/03911.jpg
23842,B,high,moderate,1,data/images/train/moderate/03924.jpg
23865,B,moderate,moderate,1,data/images/train/moderate/03947.jpg
23900,B,low,moderate,1,data/images/train/moderate/03982.jpg
23921,B,low,moderate,1,data/images/train/moderate/04003.jpg
23929,B,low,moderate,1,data/images/train/moderate/04011.jpg
23930,B,moderate,moderate,1,data/images/train/moderate/04012.jpg
23931,B,moderate,moderate,1,data/images/train/moderate/04013.jpg
23952,B,moderate,moderate,2,data/images/train/moderate/04034.jpg
23952,B,moderate,moderate,2,data/images/train/moderate/09360.jpg
23959,B,moderate,moderate,2,data/images/train/moderate/04041.jpg
23959,B,moderate,moderate,2,data/images/train/moderate/09367.jpg
23980,B,low,moderate,1,data/images/train/moderate/04062.jpg
23984,B,high,moderate,1,data/images/train/moderate/04066.jpg
23992,B,moderate,moderate,1,data/images/train/moderate/04074.jpg
24007,B,low,moderate,1,data/images/train/moderate/04089.jpg
24011,B,moderate,moderate,1,data/images/train/moderate/04093.jpg
24033,B,moderate,moderate,1,data/images/train/moderate/04115.jpg
24038,B,moderate,moderate,1,data/images/train/moderate/04120.jpg
24092,B,low,moderate,1,data/images/train/moderate/04174.jpg
24191,B,low,moderate,1,data/images/train/moderate/04273.jpg
24198,B,low,moderate,1,data/images/train/moderate/04280.jpg
24210,B,low,moderate,1,data/images/train/moderate/04292.jpg
24223,B,low,moderate,1,data/images/train/moderate/04305.jpg
24234,B,low,moderate,1,data/images/train/moderate/04316.jpg
24244,B,moderate,moderate,1,data/images/train/moderate/04326.jpg
24252,B,moderate,moderate,1,data/images/train/moderate/04334.jpg
24258,B,moderate,moderate,1,data/images/train/moderate/04340.jpg
24261,B,moderate,moderate,1,data/images/train/moderate/04343.jpg
24264,B,low,moderate,1,data/images/train/moderate/04346.jpg
24268,B,low,moderate,1,data/images/train/moderate/04350.jpg
24270,B,low,moderate,1,data/images/train/moderate/04352.jpg
24290,B,low,moderate,1,data/images/train/moderate/04372.jpg
24293,B,moderate,moderate,1,data/images/train/moderate/04375.jpg
24305,B,low,moderate,2,data/images/train/moderate/04387.jpg
24305,B,low,moderate,2,data/images/train/moderate/19804.jpg
24341,B,moderate,moderate,1,data/images/train/moderate/04423.jpg
24381,B,moderate,moderate,1,data/images/train/moderate/04463.jpg
24425,B,high,moderate,1,data/images/train/moderate/04507.jpg
24452,B,moderate,moderate,1,data/images/train/moderate/04534.jpg
24471,B,moderate,moderate,1,data/images/train/moderate/04553.jpg
24473,B,moderate,moderate,1,data/images/train/moderate/04555.jpg
24476,B,high,moderate,1,data/images/train/moderate/04558.jpg
24481,B,moderate,moderate,1,data/images/train/moderate/04563.jpg
24482,B,moderate,moderate,1,data/images/train/moderate/04564.jpg
24483,B,high,moderate,1,data/images/train/moderate/04565.jpg
24492,B,moderate,moderate,1,data/images/train/moderate/04574.jpg
24535,B,high,moderate,1,data/images/train/moderate/04617.jpg
24568,B,low,moderate,1,data/images/train/moderate/04650.jpg
24588,B,moderate,moderate,1,data/images/train/moderate/04670.jpg
24592,B,moderate,moderate,1,data/images/train/moderate/04674.jpg
24619,B,moderate,moderate,2,data/images/train/moderate/04701.jpg
24619,B,moderate,moderate,2,data/images/train/moderate/09795.jpg
24660,B,low,moderate,2,data/images/train/moderate/04742.jpg
24660,B,low,moderate,2,data/images/train/moderate/09842.jpg
24722,B,low,moderate,2,data/images/train/moderate/04804.jpg
24722,B,low,moderate,2,data/images/train/moderate/09976.jpg
24727,B,low,moderate,2,data/images/train/moderate/04809.jpg
24727,B,low,moderate,2,data/images/train/moderate/09981.jpg
24763,B,low,moderate,2,data/images/train/moderate/04845.jpg
24763,B,low,moderate,2,data/images/train/moderate/10024_1.jpg
24780,B,moderate,moderate,1,data/images/train/moderate/04862.jpg
24808,B,low,moderate,2,data/images/train/moderate/04890.jpg
24808,B,low,moderate,2,data/images/train/moderate/10068_1.jpg
24824,B,low,moderate,2,data/images/train/moderate/04906.jpg
24824,B,low,moderate,2,data/images/train/moderate/10084_1.jpg
24834,B,moderate,moderate,1,data/images/train/moderate/04916.jpg
24839,B,low,moderate,1,data/images/train/moderate/04921.jpg
24849,B,moderate,moderate,1,data/images/train/moderate/04931.jpg
24875,B,low,moderate,1,data/images/train/moderate/04957.jpg
24897,B,moderate,moderate,1,data/images/train/moderate/04979.jpg
24919,B,moderate,moderate,1,data/images/train/moderate/05001.jpg
24957,B,moderate,moderate,2,data/images/train/moderate/05039.jpg
24957,B,moderate,moderate,2,data/images/train/moderate/10107_1.jpg
24969,B,moderate,moderate,2,data/images/train/moderate/05051.jpg
24969,B,moderate,moderate,2,data/images/train/moderate/10119_1.jpg
24986,B,moderate,moderate,2,data/images/train/moderate/05068.jpg
24986,B,moderate,moderate,2,data/images/train/moderate/10135_1.jpg
25004,B,low,moderate,2,data/images/train/moderate/05086.jpg
25004,B,low,moderate,2,data/images/train/moderate/10154_1.jpg
25026,B,moderate,moderate,2,data/images/train/moderate/05108.jpg
25026,B,moderate,moderate,2,data/images/train/moderate/10174_1.jpg
25057,B,high,moderate,2,data/images/train/moderate/05139.jpg
25057,B,high,moderate,2,data/images/train/moderate/10269_1.jpg
25058,B,high,moderate,2,data/images/train/moderate/05140.jpg
25058,B,high,moderate,2,data/images/train/moderate/10270_1.jpg
25062,B,moderate,moderate,2,data/images/train/moderate/05144.jpg
25062,B,moderate,moderate,2,data/images/train/moderate/10274_1.jpg
25066,B,moderate,moderate,2,data/images/train/moderate/05148.jpg
25066,B,moderate,moderate,2,data/images/train/moderate/10278_1.jpg
25074,B,high,moderate,1,data/images/train/moderate/05156.jpg
25087,B,high,moderate,2,data/images/train/moderate/05169.jpg
25087,B,high,moderate,2,data/images/train/moderate/10298_1.jpg
25099,B,moderate,moderate,2,data/images/train/moderate/05181.jpg
25099,B,moderate,moderate,2,data/images/train/moderate/10311_1.jpg
25102,B,moderate,moderate,2,data/images/train/moderate/05184.jpg
25102,B,moderate,moderate,2,data/images/train/moderate/10314_1.jpg
25198,B,moderate,moderate,1,data/images/train/moderate/05280.jpg
25229,B,low,moderate,1,data/images/train/moderate/05311.jpg
25232,B,low,moderate,1,data/images/train/moderate/05314.jpg
25263,B,low,moderate,1,data/images/train/moderate/05345.jpg
25297,B,low,moderate,1,data/images/train/moderate/05379.jpg
25328,B,low,moderate,1,data/images/train/moderate/05410.jpg
25332,B,moderate,moderate,1,data/images/train/moderate/05414.jpg
25344,B,low,moderate,1,data/images/train/moderate/05426.jpg
25361,B,low,moderate,1,data/images/train/moderate/05443.jpg
25383,B,low,moderate,1,data/images/train/moderate/05465.jpg
25410,B,low,moderate,1,data/images/train/moderate/05492.jpg
25433,B,low,moderate,1,data/images/train/moderate/05515.jpg
25458,B,low,moderate,1,data/images/train/moderate/05540.jpg
25478,B,low,moderate,1,data/images/train/moderate/05560.jpg
25492,B,low,moderate,1,data/images/train/moderate/05579.jpg
25493,B,moderate,moderate,1,data/images/train/moderate/05584.jpg
25536,B,moderate,moderate,2,data/images/train/moderate/05639.jpg
25536,B,moderate,moderate,2,data/images/train/moderate/09925.jpg
25554,B,low,moderate,2,data/images/train/moderate/05657.jpg
25554,B,low,moderate,2,data/images/train/moderate/09943.jpg
25582,B,moderate,moderate,1,data/images/train/moderate/05752.jpg
25637,B,moderate,moderate,1,data/images/train/moderate/05933.jpg
25647,B,moderate,moderate,1,data/images/train/moderate/05946.jpg
25672,B,low,moderate,2,data/images/train/moderate/05971.jpg
25672,B,low,moderate,2,data/images/train/moderate/10214_1.jpg
25713,B,low,moderate,1,data/images/train/moderate/06149.jpg
25723,B,moderate,moderate,1,data/images/train/moderate/06189.jpg
25739,B,moderate,moderate,1,data/images/train/moderate/06213.jpg
25781,B,high,moderate,1,data/images/train/moderate/06316.jpg
25800,B,moderate,moderate,1,data/images/train/moderate/06335.jpg
25844,B,high,moderate,1,data/images/train/moderate/06425.jpg
25849,B,low,moderate,1,data/images/train/moderate/06433.jpg
25866,B,low,moderate,1,data/images/train/moderate/06470.jpg
25886,B,moderate,moderate,1,data/images/train/moderate/06508.jpg
25893,B,moderate,moderate,1,data/images/train/moderate/06518.jpg
25896,B,moderate,moderate,1,data/images/train/moderate/06521.jpg
25968,B,moderate,moderate,1,data/images/train/moderate/06615.jpg
25973,B,moderate,moderate,1,data/images/train/moderate/06621.jpg
25984,B,moderate,moderate,1,data/images/train/moderate/06637.jpg
26037,B,moderate,moderate,1,data/images/train/moderate/06695.jpg
26045,B,low,moderate,1,data/images/train/moderate/06703.jpg
26120,B,moderate,moderate,1,data/images/train/moderate/06853.jpg
26128,B,low,moderate,1,data/images/train/moderate/06861.jpg
26130,B,low,moderate,1,data/images/train/moderate/06863.jpg
26135,B,moderate,moderate,1,data/images/train/moderate/06868.jpg
26143,B,low,moderate,1,data/images/train/moderate/06888.jpg
26146,B,moderate,moderate,1,data/images/train/moderate/06892.jpg
26171,B,moderate,moderate,1,data/images/train/moderate/06940.jpg
26186,B,moderate,moderate,1,data/images/train/moderate/06955.jpg
26210,B,high,moderate,1,data/images/train/moderate/06980.jpg
26223,B,low,moderate,1,data/images/train/moderate/06994.jpg
26230,B,low,moderate,1,data/images/train/moderate/07001.jpg
26315,B,low,moderate,1,data/images/train/moderate/07102.jpg
26401,B,high,moderate,1,data/images/train/moderate/07218.jpg
26403,B,moderate,moderate,1,data/images/train/moderate/07220.jpg
26447,B,moderate,moderate,1,data/images/train/moderate/07268.jpg
26456,B,low,moderate,1,data/images/train/moderate/07277.jpg
26462,B,moderate,moderate,1,data/images/train/moderate/07283.jpg
26467,B,low,moderate,1,data/images/train/moderate/07288.jpg
